id,meal_id,name,amount,price
1,1,Spaghetti,200g,200.0
2,1,Carbonara Sauce,100g,100.0
3,1,Bacon,150g,150.0
4,1,Parmesan Cheese,50g,50.0
5,1,Olive Oil,20ml,20.0
6,1,Salt,5g,5.0
7,2,Chicken Breast,300g,300.0
8,2,Romaine Lettuce,150g,100.0
9,2,Croutons,50g,50.0
10,2,Caesar Dressing,50ml,150.0
11,2,Parmesan Cheese,20g,50.0
12,3,Ground Beef,200g,200.0
13,3,Taco Shells,100g,80.0
14,3,Lettuce,50g,50.0
15,3,Cheddar Cheese,60g,60.0
16,3,Sour Cream,40g,40.0
17,3,Salsa,30g,30.0
18,4,Tofu,150g,150.0
19,4,Bell Peppers,100g,100.0
20,4,Carrots,50g,50.0
21,4,Onions,50g,50.0
22,4,Soy Sauce,20ml,20.0
23,4,Garlic,10g,10.0
24,5,Pizza Dough,150g,150.0
25,5,Tomato Sauce,50g,50.0
26,5,Fresh Mozzarella,100g,100.0
27,5,Basil,20g,20.0
28,5,Olive Oil,20ml,20.0
29,6,Chicken Breast,300g,300.0
30,6,Alfredo Sauce,200g,200.0
31,6,Fettuccine,100g,100.0
32,6,Parmesan Cheese,50g,50.0
33,6,Olive Oil,20ml,20.0
34,7,Beans,100g,100.0
35,7,Tomatoes,50g,50.0
36,7,Onions,50g,50.0
37,7,Carrots,50g,50.0
38,7,Chili Powder,10g,10.0
39,7,Garlic,10g,10.0
40,8,Salmon,500g,500.0
41,8,Lemon,20g,20.0
42,8,Olive Oil,20ml,20.0
43,8,Garlic,10g,10.0
44,9,Beef,300g,300.0
45,9,Carrots,50g,50.0
46,9,Potatoes,80g,80.0
47,9,Onions,50g,50.0
48,9,Broth,100ml,100.0
49,10,Flour,100g,100.0
50,10,Sugar,30g,30.0
51,10,Butter,40g,40.0
52,10,Milk,50ml,50.0
53,10,Eggs,40g,40.0
54,10,Baking Powder,10g,10.0

